"Table 1. Per Capita Personal Income, by County, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Lamar,"50,934","50,162","51,936",180,-1.5,3.5,212
Lamb,"54,212","62,476","63,169",82,15.2,1.1,226
Lampasas,"59,562","58,896","62,665",87,-1.1,6.4,102
La Salle,"45,771","47,923","50,247",195,4.7,4.8,176
Lavaca,"61,685","66,720","71,664",52,8.2,7.4,63
Lee,"58,026","54,917","59,542",106,-5.4,8.4,41
Leon,"54,295","58,315","62,631",88,7.4,7.4,64
Liberty,"41,918","41,463","44,184",239,-1.1,6.6,90
Limestone,"47,965","47,358","52,196",177,-1.3,10.2,27
Lipscomb,"110,843","132,188","141,712",5,19.3,7.2,70
Live Oak,"46,164","47,696","50,483",190,3.3,5.8,136
Llano,"64,032","67,256","72,121",47,5.0,7.2,67
Loving,"135,519","174,523","223,419",1,28.8,28.0,2
Lubbock,"51,220","51,641","54,313",152,0.8,5.2,163
Lynn,"58,720","69,249","65,814",69,17.9,-5.0,247
McCulloch,"47,323","49,754","53,630",158,5.1,7.8,51
McLennan,"49,663","50,861","53,941",155,2.4,6.1,114
McMullen,"92,419","112,627","117,599",8,21.9,4.4,192
Madison,"41,884","42,610","45,527",228,1.7,6.8,81
Marion,"48,483","49,627","52,570",174,2.4,5.9,126
Martin,"84,813","105,890","107,395",11,24.9,1.4,224
Mason,"58,413","56,440","63,450",81,-3.4,12.4,18
Matagorda,"50,845","49,952","53,090",166,-1.8,6.3,104
Maverick,"38,919","38,293","41,009",245,-1.6,7.1,74
Medina,"49,662","49,907","52,854",168,0.5,5.9,129
Menard,"48,840","47,379","52,791",170,-3.0,11.4,21
Midland,"120,496","145,500","144,532",4,20.8,-0.7,238
Milam,"45,763","47,329","51,236",184,3.4,8.3,45
Mills,"52,362","54,476","58,522",116,4.0,7.4,61
Mitchell,"35,719","40,025","40,541",246,12.1,1.3,225
Montague,"46,553","47,028","50,251",194,1.0,6.9,80
Montgomery,"71,479","73,866","78,644",30,3.3,6.5,99
Moore,"55,525","58,914","61,988",93,6.1,5.2,161
Morris,"47,680","48,623","50,538",189,2.0,3.9,208
Motley,"39,879","48,854","55,185",145,22.5,13.0,15
Nacogdoches,"45,807","48,146","50,541",188,5.1,5.0,174
Navarro,"45,121","44,762","46,891",222,-0.8,4.8,178
Newton,"43,629","42,829","44,866",231,-1.8,4.8,179
Nolan,"51,845","53,138","56,320",132,2.5,6.0,121
Nueces,"53,624","53,762","56,833",128,0.3,5.7,142
Ochiltree,"62,190","65,165","72,100",48,4.8,10.6,23
Oldham,"75,068","77,077","89,268",21,2.7,15.8,9
Orange,"49,183","49,136","51,982",179,-0.1,5.8,137
Palo Pinto,"51,250","51,806","54,995",148,1.1,6.2,110
Panola,"52,389","57,564","60,434",100,9.9,5.0,173
Parker,"66,362","69,023","74,009",41,4.0,7.2,68
Parmer,"64,399","72,223","77,006",36,12.1,6.6,86
Pecos,"42,406","44,938","49,691",204,6.0,10.6,25
Polk,"47,501","47,138","49,945",199,-0.8,6.0,124
Potter,"55,167","56,086","58,933",110,1.7,5.1,168
Presidio,"60,560","60,360","65,420",72,-0.3,8.4,43
Rains,"41,708","41,502","44,559",234,-0.5,7.4,65
Randall,"56,201","56,753","60,604",99,1.0,6.8,82
Reagan,"60,057","69,524","71,887",49,15.8,3.4,214
Real,"56,399","57,193","61,576",96,1.4,7.7,54
Red River,"52,615","52,969","55,403",142,0.7,4.6,188
Reeves,"57,832","68,048","76,555",37,17.7,12.5,17
Refugio,"54,077","56,807","57,772",120,5.0,1.7,222
Roberts,"55,583","59,397","64,762",75,6.9,9.0,34
Robertson,"51,842","55,615","58,609",115,7.3,5.4,158
Rockwall,"72,243","72,518","77,307",34,0.4,6.6,88
Runnels,"50,457","55,540","55,707",138,10.1,0.3,231
Rusk,"44,282","45,324","47,312",217,2.4,4.4,194
Sabine,"46,250","45,195","47,303",218,-2.3,4.7,183
San Augustine,"51,221","56,539","58,852",112,10.4,4.1,205
San Jacinto,"45,491","44,411","47,030",221,-2.4,5.9,130
San Patricio,"50,667","50,272","53,429",163,-0.8,6.3,105
San Saba,"43,162","43,949","48,235",214,1.8,9.8,31
Schleicher,"52,894","62,164","61,904",94,17.5,-0.4,237
Scurry,"46,414","51,465","54,065",154,10.9,5.1,171
Shackelford,"99,262","118,591","91,109",19,19.5,-23.2,253
Shelby,"55,956","65,019","64,203",79,16.2,-1.3,240
Sherman,"126,500","120,922","173,932",2,-4.4,43.8,1
Smith,"62,358","65,495","66,887",64,5.0,2.1,219
Somervell,"56,179","58,146","62,988",83,3.5,8.3,44
Starr,"33,789","31,646","32,785",254,-6.3,3.6,211
Stephens,"45,813","47,241","49,206",209,3.1,4.2,202
Sterling,"63,520","65,388","71,876",50,2.9,9.9,29
Stonewall,"88,007","94,930","95,644",16,7.9,0.8,230
Sutton,"68,875","68,609","75,645",39,-0.4,10.3,26
Swisher,"71,963","78,991","85,037",25,9.8,7.7,55
Tarrant,"60,515","63,468","65,765",70,4.9,3.6,210
Taylor,"53,940","55,384","58,181",118,2.7,5.1,172
Terrell,"62,958","64,102","66,721",66,1.8,4.1,206
Terry,"45,036","53,446","49,822",202,18.7,-6.8,250
Throckmorton,"67,602","56,578","53,588",160,-16.3,-5.3,248
Titus,"48,491","51,331","52,359",175,5.9,2.0,220
Tom Green,"59,635","60,883","65,314",74,2.1,7.3,66
Travis,"80,824","86,933","91,887",18,7.6,5.7,144
Trinity,"46,379","46,522","49,195",210,0.3,5.7,139
Tyler,"43,022","42,031","44,662",232,-2.3,6.3,107
Upshur,"44,137","44,243","46,654",224,0.2,5.4,154
Upton,"63,206","79,542","88,874",22,25.8,11.7,20
Uvalde,"52,827","51,812","55,211",144,-1.9,6.6,91
Val Verde,"47,240","47,421","50,112",198,0.4,5.7,147
Van Zandt,"45,173","45,781","48,399",212,1.3,5.7,141
Victoria,"57,361","55,873","58,912",111,-2.6,5.4,155
Walker,"33,331","33,731","35,913",250,1.2,6.5,98
Waller,"50,332","51,382","55,463",140,2.1,7.9,48
Ward,"55,169","60,410","67,647",59,9.5,12.0,19
Washington,"68,834","69,605","73,880",42,1.1,6.1,111
Webb,"41,029","40,674","42,757",240,-0.9,5.1,167
Wharton,"53,164","52,426","55,902",136,-1.4,6.6,85
Wheeler,"48,329","49,298","54,067",153,2.0,9.7,32
Wichita,"49,848","52,585","55,278",143,5.5,5.1,166
Wilbarger,"65,095","63,837","67,115",61,-1.9,5.1,165
Willacy,"37,575","34,348","35,832",251,-8.6,4.3,196
Williamson,"63,098","68,002","72,828",45,7.8,7.1,73
Wilson,"55,161","56,370","59,578",105,2.2,5.7,145
Winkler,"63,268","67,231","75,821",38,6.3,12.8,16
Wise,"54,120","55,498","59,092",108,2.5,6.5,96
Wood,"47,319","48,749","50,764",187,3.0,4.1,203
Yoakum,"50,233","59,487","61,028",98,18.4,2.6,217
Young,"59,055","65,820","69,691",55,11.5,5.9,132
Zapata,"33,375","32,715","34,154",253,-2.0,4.4,193
Zavala,"43,247","43,498","47,333",215,0.6,8.8,36
,,,,,,,
Utah,"58,191","60,782","64,175",--,4.5,5.6,--
Beaver,"48,110","44,975","39,982",28,-6.5,-11.1,29
Box Elder,"45,381","47,784","50,990",18,5.3,6.7,10
Cache,"49,283","48,903","50,603",19,-0.8,3.5,24
Carbon,"45,887","46,858","49,335",22,2.1,5.3,18
Daggett,"50,681","49,212","52,788",14,-2.9,7.3,4
Davis,"56,679","59,173","62,449",6,4.4,5.5,15
Duchesne,"45,161","48,053","51,352",17,6.4,6.9,9
Emery,"39,533","40,878","42,317",25,3.4,3.5,23
Garfield,"52,936","51,930","53,930",12,-1.9,3.9,20
Grand,"69,321","71,731","77,028",3,3.5,7.4,3
Iron,"39,860","40,371","42,301",26,1.3,4.8,19
Juab,"50,070","51,325","52,701",15,2.5,2.7,25
Kane,"54,662","51,436","53,294",13,-5.9,3.6,22
Millard,"45,301","49,267","49,823",21,8.8,1.1,27
Morgan,"68,537","67,498","71,630",5,-1.5,6.1,11
Piute,"49,605","63,355","61,075",7,27.7,-3.6,28
Rich,"45,310","47,284","52,239",16,4.4,10.5,1
Salt Lake,"64,694","67,827","71,787",4,4.8,5.8,14
San Juan,"35,079","36,570","38,753",29,4.3,6.0,13
Sanpete,"40,474","43,062","43,717",24,6.4,1.5,26
Sevier,"43,088","44,511","46,183",23,3.3,3.8,21
Summit,"217,499","241,155","259,993",1,10.9,7.8,2
Tooele,"45,211","46,911","50,274",20,3.8,7.2,5
Uintah,"36,179","38,844","41,619",27,7.4,7.1,6
Utah,"52,065","54,335","57,619",8,4.4,6.0,12
Wasatch,"78,902","86,398","92,354",2,9.5,6.9,8
Washington,"50,741","51,650","54,405",11,1.8,5.3,17
Wayne,"52,607","52,733","56,495",9,0.2,7.1,7
Weber,"50,067","52,970","55,832",10,5.8,5.4,16
,,,,,,,
Vermont,"60,818","63,624","66,932",--,4.6,5.2,--
Addison,"59,352","61,851","64,395",7,4.2,4.1,11
Bennington,"58,446","61,577","65,638",6,5.4,6.6,1
Caledonia,"50,057","51,353","53,640",13,2.6,4.5,9
Chittenden,"67,404","72,102","76,222",1,7.0,5.7,5
Essex,"45,980","46,138","47,952",14,0.3,3.9,12
Franklin,"54,571","55,937","57,298",11,2.5,2.4,14
Grand Isle,"68,004","71,058","74,532",2,4.5,4.9,8
Lamoille,"60,722","64,141","68,121",5,5.6,6.2,3
Orange,"54,972","56,166","59,235",10,2.2,5.5,6
Orleans,"52,764","53,380","55,293",12,1.2,3.6,13
Rutland,"56,191","59,129","61,702",8,5.2,4.4,10
Washington,"66,673","69,964","73,602",3,4.9,5.2,7
Windham,"55,036","56,148","59,401",9,2.0,5.8,4
Windsor,"65,963","67,866","72,177",4,2.9,6.4,2
,,,,,,,
Virginia,"66,983","69,707","73,841",--,4.1,5.9,--
Accomack,"56,534","54,864","52,443",60,-3.0,-4.4,105
Amelia,"50,738","54,336","54,587",53,7.1,0.5,101
Amherst,"44,145","45,026","47,385",87,2.0,5.2,70
Appomattox,"45,682","46,002","47,873",84,0.7,4.1,87
Arlington,"109,431","117,273","124,345",2,7.2,6.0,42
Bath,"72,876","73,371","77,195",14,0.7,5.2,71
Bedford,"53,622","54,872","57,877",43,2.3,5.5,60
Bland,"42,421","43,800","46,796",89,3.3,6.8,20
Botetourt,"58,134","59,932","64,012",33,3.1,6.8,21
Brunswick,"40,290","42,124","45,693",91,4.6,8.5,2
Buchanan,"43,325","45,462","49,335",74,4.9,8.5,1
Buckingham,"37,654","39,850","39,823",104,5.8,-0.1,103
Caroline,"50,756","51,644","54,299",54,1.7,5.1,73
Charles City,"59,661","59,040","61,647",37,-1.0,4.4,84
Charlotte,"44,623","46,542","47,697",85,4.3,2.5,96
Chesterfield,"62,152","62,948","66,800",25,1.3,6.1,36
Clarke,"75,372","77,014","82,974",10,2.2,7.7,7
Craig,"46,875","47,820","50,734",68,2.0,6.1,38
Culpeper,"54,469","57,017","60,129",40,4.7,5.5,61
Cumberland,"45,402","47,205","48,063",82,4.0,1.8,98
Dickenson,"40,555","41,979","44,423",92,3.5,5.8,51
Essex,"51,616","53,037","55,859",49,2.8,5.3,67
Fauquier,"79,388","81,932","86,886",9,3.2,6.0,40
Floyd,"48,107","49,376","53,008",58,2.6,7.4,10
Fluvanna,"52,440","53,675","57,422",44,2.4,7.0,17
Franklin,"50,765","52,641","55,820",50,3.7,6.0,41
Giles,"48,133","49,867","53,100",56,3.6,6.5,29
Gloucester,"56,403","57,410","61,214",38,1.8,6.6,24
Goochland,"110,349","117,998","125,932",1,6.9,6.7,22
Grayson,"38,203","39,423","40,784",103,3.2,3.5,91
Greene,"50,316","52,593","55,760",51,4.5,6.0,44
Halifax,"43,477","45,261","47,960",83,4.1,6.0,46
Hanover,"69,372","72,751","77,005",15,4.9,5.8,50
Henrico,"74,450","73,807","77,783",13,-0.9,5.4,64
Highland,"50,887","52,174","50,924",66,2.5,-2.4,104
Isle of Wight,"62,515","64,327","69,100",21,2.9,7.4,9
King and Queen,"54,852","56,077","59,339",41,2.2,5.8,52
King George,"62,960","62,711","65,579",30,-0.4,4.6,83
King William,"53,714","54,889","57,290",45,2.2,4.4,86
Lancaster,"70,409","76,501","82,071",11,8.7,7.3,12
Lee,"37,995","39,709","41,822",101,4.5,5.3,66
Loudoun,"92,022","96,372","102,229",7,4.7,6.1,39
Louisa,"50,620","51,304","52,957",59,1.4,3.2,92
Lunenburg,"39,499","39,415","41,578",102,-0.2,5.5,59
Madison,"55,675","57,342","60,259",39,3.0,5.1,75
Mathews,"65,661","68,323","72,439",18,4.1,6.0,43
Mecklenburg,"46,283","46,598","49,625",72,0.7,6.5,28
Middlesex,"60,525","62,117","66,200",26,2.6,6.6,27
Nelson,"62,661","63,566","67,990",24,1.4,7.0,18
New Kent,"96,580","115,396","124,129",3,19.5,7.6,8
Northampton,"67,569","65,448","65,814",28,-3.1,0.6,100
Northumberland,"59,441","60,550","64,899",32,1.9,7.2,14
Nottoway,"42,839","45,287","46,746",90,5.7,3.2,93
Orange,"59,006","59,828","62,886",35,1.4,5.1,74
Page,"46,586","49,114","49,221",75,5.4,0.2,102
Patrick,"39,124","40,749","42,956",97,4.2,5.4,63
Powhatan,"64,787","68,174","72,006",20,5.2,5.6,56
Prince Edward,"39,188","40,040","42,333",99,2.2,5.7,54
Pulaski,"46,445","48,601","51,836",62,4.6,6.7,23
Rappahannock,"76,697","83,802","89,727",8,9.3,7.1,15
Richmond,"43,467","42,959","44,081",94,-1.2,2.6,94
Russell,"39,796","41,628","43,189",96,4.6,3.7,89
Scott,"39,382","41,613","43,448",95,5.7,4.4,85
Shenandoah,"54,625","55,622","56,651",46,1.8,1.8,97
Smyth,"44,170","45,321","48,244",80,2.6,6.4,31
Stafford,"62,810","64,168","68,098",23,2.2,6.1,35
Surry,"52,683","53,394","55,365",52,1.3,3.7,90
Sussex,"37,967","38,285","39,253",105,0.8,2.5,95
Tazewell,"43,136","45,456","48,157",81,5.4,5.9,47
Warren,"55,067","56,200","59,324",42,2.1,5.6,58
Westmoreland,"50,710","51,092","53,452",55,0.8,4.6,82
Wythe,"43,349","45,129","47,343",88,4.1,4.9,76
Independent cities:,,,,,,,
Alexandria,"103,911","108,882","115,144",4,4.8,5.8,53
Chesapeake,"57,341","58,841","62,736",36,2.6,6.6,25
Hampton,"48,708","49,129","52,364",61,0.9,6.6,26
Newport News,"47,084","47,938","50,764",67,1.8,5.9,48
Norfolk,"47,076","48,109","51,434",65,2.2,6.9,19
Portsmouth,"45,969","46,384","48,985",77,0.9,5.6,57
Richmond,"68,921","72,493","76,912",16,5.2,6.1,37
Roanoke,"50,076","52,732","56,075",47,5.3,6.3,34
Suffolk,"59,638","61,608","66,130",27,3.3,7.3,11
Virginia Beach,"64,609","67,756","72,091",19,4.9,6.4,33
Combination areas2:,,,,,,,
Albemarle + Charlottesville,"88,214","95,359","102,987",6,8.1,8.0,4
Alleghany + Covington,"45,091","46,527","49,149",76,3.2,5.6,55
"Augusta, Staunton + Waynesboro","51,537","53,755","55,929",48,4.3,4.0,88
Campbell + Lynchburg,"44,950","46,175","48,550",79,2.7,5.1,72
Carroll + Galax,"43,408","45,486","47,671",86,4.8,4.8,78
"Dinwiddie, Colonial Heights + Petersburg","46,153","47,134","49,623",73,2.1,5.3,69
"Fairfax, Fairfax City + Falls Church","97,315","102,810","108,855",5,5.6,5.9,49
Frederick + Winchester,"60,258","61,448","65,119",31,2.0,6.0,45
Greensville + Emporia,"39,089","40,069","42,214",100,2.5,5.4,65
Henry + Martinsville,"45,653","47,430","50,015",70,3.9,5.5,62
James City + Williamsburg,"73,319","75,459","81,761",12,2.9,8.4,3
Montgomery + Radford,"43,713","46,146","49,735",71,5.6,7.8,6
Pittsylvania + Danville,"44,122","45,831","48,769",78,3.9,6.4,32
Prince George + Hopewell,"39,649","40,589","42,550",98,2.4,4.8,77
"Prince William, Manassas + Manassas Park","62,166","64,741","68,164",22,4.1,5.3,68
Roanoke + Salem,"57,154","59,627","63,792",34,4.3,7.0,16
"Rockbridge, Buena Vista + Lexington","47,750","47,897","51,661",63,0.3,7.9,5
Rockingham + Harrisonburg,"48,241","51,204","51,573",64,6.1,0.7,99
Southampton + Franklin,"49,521","50,647","53,011",57,2.3,4.7,80
Spotsylvania + Fredericksburg,"60,697","61,612","65,590",29,1.5,6.5,30
Washington + Bristol,"46,909","48,422","50,667",69,3.2,4.6,81
Wise + Norton,"40,786","42,148","44,131",93,3.3,4.7,79
York + Poquoson,"66,115","68,311","73,221",17,3.3,7.2,13
,,,,,,,
Washington,"73,651","75,673","80,930",--,2.7,6.9,--
Adams,"48,821","51,413","52,466",28,5.3,2.0,36
Asotin,"53,481","54,250","57,199",21,1.4,5.4,24
Benton,"54,638","54,240","56,969",23,-0.7,5.0,25
Chelan,"62,195","64,126","68,356",8,3.1,6.6,14
Clallam,"54,279","55,887","60,321",15,3.0,7.9,3
Clark,"63,580","65,486","69,318",6,3.0,5.9,19
Columbia,"61,704","60,267","62,070",14,-2.3,3.0,33
Cowlitz,"54,090","55,235","57,947",19,2.1,4.9,28
Douglas,"49,581","49,691","51,926",30,0.2,4.5,29
Ferry,"46,547","44,800","47,534",39,-3.8,6.1,17
Franklin,"46,994","46,602","48,029",38,-0.8,3.1,32
Garfield,"57,208","59,620","57,405",20,4.2,-3.7,39
Grant,"49,078","49,133","49,727",35,0.1,1.2,37
Grays Harbor,"47,004","47,232","49,968",34,0.5,5.8,22
Island,"63,340","65,206","70,094",5,2.9,7.5,9
Jefferson,"60,534","63,508","68,457",7,4.9,7.8,5
King,"109,827","113,317","122,235",1,3.2,7.9,4
Kitsap,"66,369","68,389","73,841",4,3.0,8.0,2
Kittitas,"54,946","56,078","60,053",16,2.1,7.1,10
Klickitat,"53,963","54,742","57,126",22,1.4,4.4,30
Lewis,"51,640","56,602","59,759",17,9.6,5.6,23
Lincoln,"53,356","51,467","51,607",31,-3.5,0.3,38
Mason,"51,240","50,777","54,701",25,-0.9,7.7,6
Okanogan,"50,570","49,990","52,446",29,-1.1,4.9,27
Pacific,"46,831","47,230","50,282",33,0.9,6.5,16
Pend Oreille,"49,635","49,649","52,605",27,0.0,6.0,18
Pierce,"59,325","61,057","65,188",12,2.9,6.8,12
San Juan,"84,201","85,647","93,395",2,1.7,9.0,1
Skagit,"61,889","62,938","67,173",9,1.7,6.7,13
Skamania,"61,647","62,970","67,073",10,2.1,6.5,15
Snohomish,"67,515","70,051","75,320",3,3.8,7.5,7
Spokane,"54,258","55,407","58,630",18,2.1,5.8,20
Stevens,"47,046","46,767","49,484",36,-0.6,5.8,21
Thurston,"58,681","61,296","65,892",11,4.5,7.5,8
Wahkiakum,"50,698","50,641","54,133",26,-0.1,6.9,11
Walla Walla,"54,678","54,862","56,420",24,0.3,2.8,34
Whatcom,"58,107","59,169","62,095",13,1.8,4.9,26
Whitman,"51,495","47,204","48,522",37,-8.3,2.8,35
Yakima,"49,918","49,680","51,488",32,-0.5,3.6,31
,,,,,,,
West Virginia,"48,802","50,134","52,826",--,2.7,5.4,--
Barbour,"41,056","41,289","42,530",45,0.6,3.0,49
Berkeley,"51,155","51,772","54,940",11,1.2,6.1,12
Boone,"41,428","41,814","43,398",43,0.9,3.8,44
Braxton,"40,682","40,416","42,520",46,-0.7,5.2,28
Brooke,"49,449","51,046","53,325",16,3.2,4.5,40
Cabell,"49,384","50,998","54,209",12,3.3,6.3,9
Calhoun,"41,800","41,532","44,580",37,-0.6,7.3,4
Clay,"39,158","39,151","41,070",48,0.0,4.9,31
Doddridge,"37,308","39,383","40,875",49,5.6,3.8,45
Fayette,"44,231","44,859","47,212",29,1.4,5.2,27
Gilmer,"36,225","36,538","38,947",51,0.9,6.6,6
Grant,"46,167","47,897","47,890",28,3.7,0.0,53
Greenbrier,"46,603","47,453","50,142",22,1.8,5.7,20
Hampshire,"45,139","45,182","46,417",32,0.1,2.7,51
Hancock,"50,091","51,423","53,854",14,2.7,4.7,35
Hardy,"40,407","45,583","43,439",42,12.8,-4.7,55
Harrison,"57,138","59,939","63,351",3,4.9,5.7,19
Jackson,"44,893","46,178","48,978",24,2.9,6.1,15
Jefferson,"61,072","63,053","66,514",2,3.2,5.5,24
Kanawha,"55,337","57,868","61,400",5,4.6,6.1,13
Lewis,"43,402","44,293","46,994",30,2.1,6.1,14
Lincoln,"36,873","36,931","38,761",52,0.2,5.0,30
Logan,"42,379","44,821","46,862",31,5.8,4.6,38
McDowell,"34,021","34,264","35,813",54,0.7,4.5,39
Marion,"48,615","49,990","51,911",19,2.8,3.8,43
Marshall,"46,916","50,166","51,767",21,6.9,3.2,48
Mason,"42,057","41,921","44,435",38,-0.3,6.0,16
Mercer,"44,804","45,286","48,086",26,1.1,6.2,10
Mineral,"50,327","47,743","49,484",23,-5.1,3.6,46
Mingo,"36,736","36,887","39,157",50,0.4,6.2,11
Monongalia,"53,257","55,502","58,418",7,4.2,5.3,26
Monroe,"40,642","40,435","42,813",44,-0.5,5.9,18
Morgan,"45,227","43,695","45,801",34,-3.4,4.8,34
Nicholas,"40,533","40,643","44,299",39,0.3,9.0,1
Ohio,"62,968","64,030","67,565",1,1.7,5.5,23
Pendleton,"50,215","54,922","52,532",18,9.4,-4.4,54
Pleasants,"48,663","50,583","53,911",13,3.9,6.6,7
Pocahontas,"50,917","51,364","53,487",15,0.9,4.1,42
Preston,"42,245","42,315","44,252",40,0.2,4.6,36
Putnam,"53,879","54,441","58,105",8,1.0,6.7,5
Raleigh,"47,244","49,069","51,780",20,3.9,5.5,22
Randolph,"45,461","45,739","48,669",25,0.6,6.4,8
Ritchie,"52,160","55,110","57,425",10,5.7,4.2,41
Roane,"39,272","39,430","41,660",47,0.4,5.7,21
Summers,"42,703","43,744","46,136",33,2.4,5.5,25
Taylor,"48,483","49,647","52,597",17,2.4,5.9,17
Tucker,"52,784","54,952","57,622",9,4.1,4.9,33
Tyler,"51,583","60,754","62,069",4,17.8,2.2,52
Upshur,"40,997","42,033","45,382",35,2.5,8.0,3
Wayne,"40,969","42,230","44,163",41,3.1,4.6,37
Webster,"34,747","32,839","34,445",55,-5.5,4.9,32
Wetzel,"43,745","46,633","47,984",27,6.6,2.9,50
Wirt,"41,886","41,281","44,759",36,-1.4,8.4,2
Wood,"55,076","56,161","58,971",6,2.0,5.0,29
Wyoming,"34,494","35,788","37,028",53,3.8,3.5,47
,,,,,,,
Wisconsin,"60,465","61,992","64,976",--,2.5,4.8,--
Adams,"45,813","44,489","46,249",71,-2.9,4.0,47
Ashland,"46,589","47,606","49,350",69,2.2,3.7,53
Barron,"60,011","58,713","60,564",26,-2.2,3.2,61
Bayfield,"54,282","52,506","55,598",45,-3.3,5.9,7
Brown,"60,759","62,163","65,199",13,2.3,4.9,22
Buffalo,"55,042","56,341","57,210",36,2.4,1.5,69
Burnett,"48,288","49,042","51,815",62,1.6,5.7,10
Calumet,"58,185","59,530","61,851",20,2.3,3.9,51
Chippewa,"53,765","55,065","56,815",37,2.4,3.2,59
Clark,"50,241","50,311","50,617",66,0.1,0.6,71
Columbia,"61,228","63,838","67,169",8,4.3,5.2,17
Crawford,"50,116","49,865","51,946",61,-0.5,4.2,42
Dane,"72,420","73,877","77,996",4,2.0,5.6,11
Dodge,"51,580","53,210","55,856",43,3.2,5.0,20
Door,"69,918","72,905","78,073",3,4.3,7.1,2
Douglas,"49,297","50,505","52,634",57,2.5,4.2,40
Dunn,"49,854","49,328","50,772",65,-1.1,2.9,63
Eau Claire,"56,593","58,235","60,575",25,2.9,4.0,45
Florence,"62,309","61,565","66,422",9,-1.2,7.9,1
Fond du Lac,"56,767","58,178","60,018",29,2.5,3.2,60
Forest,"46,352","46,337","49,367",68,0.0,6.5,3
Grant,"51,653","52,050","53,781",51,0.8,3.3,57
Green,"63,594","62,739","65,549",11,-1.3,4.5,35
Green Lake,"51,402","51,365","53,073",54,-0.1,3.3,58
Iowa,"58,159","58,730","61,591",21,1.0,4.9,23
Iron,"54,987","53,723","56,207",42,-2.3,4.6,31
Jackson,"51,893","50,837","52,237",58,-2.0,2.8,65
Jefferson,"53,915","55,703","58,374",31,3.3,4.8,25
Juneau,"46,912","46,758","49,419",67,-0.3,5.7,9
Kenosha,"56,474","57,885","60,599",24,2.5,4.7,26
Kewaunee,"56,782","58,142","58,406",30,2.4,0.5,72
La Crosse,"59,667","59,428","62,336",19,-0.4,4.9,21
Lafayette,"51,255","52,837","55,006",48,3.1,4.1,43
Langlade,"51,043","51,377","53,770",52,0.7,4.7,28
Lincoln,"52,558","54,159","56,296",41,3.0,3.9,49
Manitowoc,"53,664","55,070","57,585",33,2.6,4.6,34
Marathon,"59,188","60,324","62,707",17,1.9,4.0,48
Marinette,"51,694","51,882","53,841",50,0.4,3.8,52
Marquette,"49,404","49,119","51,068",63,-0.6,4.0,46
Menominee,"42,911","41,579","42,070",72,-3.1,1.2,70
Milwaukee,"56,028","57,683","60,114",28,3.0,4.2,41
Monroe,"50,107","50,984","52,978",55,1.8,3.9,50
Oconto,"53,272","53,577","55,183",47,0.6,3.0,62
Oneida,"54,978","57,698","60,846",23,4.9,5.5,15
Outagamie,"59,417","61,793","64,867",14,4.0,5.0,19
Ozaukee,"94,758","98,530","104,780",1,4.0,6.3,4
Pepin,"60,397","61,932","64,105",15,2.5,3.5,54
Pierce,"57,499","58,430","61,101",22,1.6,4.6,33
Polk,"54,184","55,039","57,391",35,1.6,4.3,38
Portage,"54,693","55,050","57,490",34,0.7,4.4,36
Price,"51,173","52,330","55,355",46,2.3,5.8,8
Racine,"56,574","59,697","62,570",18,5.5,4.8,24
Richland,"51,586","51,978","53,743",53,0.8,3.4,56
Rock,"52,003","53,827","56,319",40,3.5,4.6,30
Rusk,"52,487","54,257","55,836",44,3.4,2.9,64
St. Croix,"65,134","67,270","70,354",6,3.3,4.6,32
Sauk,"62,989","62,841","66,107",10,-0.2,5.2,18
Sawyer,"51,260","51,751","54,542",49,1.0,5.4,16
Shawano,"50,356","51,102","51,974",60,1.5,1.7,68
Sheboygan,"58,795","60,511","63,878",16,2.9,5.6,12
Taylor,"51,029","49,868","50,834",64,-2.3,1.9,67
Trempealeau,"51,478","51,619","52,737",56,0.3,2.2,66
Vernon,"49,993","50,009","52,023",59,0.0,4.0,44
Vilas,"59,459","61,719","65,477",12,3.8,6.1,6
Walworth,"61,140","64,144","67,665",7,4.9,5.5,14
Washburn,"55,304","55,501","58,092",32,0.4,4.7,27
Washington,"66,611","69,370","73,187",5,4.1,5.5,13
Waukesha,"83,902","86,498","91,766",2,3.1,6.1,5
Waupaca,"54,486","54,111","56,482",39,-0.7,4.4,37
Waushara,"47,027","47,023","48,666",70,0.0,3.5,55
Winnebago,"56,110","57,505","60,180",27,2.5,4.7,29
Wood,"52,699","54,430","56,746",38,3.3,4.3,39
,,,,,,,
Wyoming,"70,973","76,440","82,060",--,7.7,7.4,--
Albany,"49,618","50,607","54,052",21,2.0,6.8,7
Big Horn,"46,281","48,425","50,641",22,4.6,4.6,21
Campbell,"56,172","58,991","62,147",14,5.0,5.3,16
Carbon,"64,862","68,464","68,521",9,5.6,0.1,22
Converse,"68,870","67,699","70,943",6,-1.7,4.8,19
Crook,"55,094","60,793","63,785",13,10.3,4.9,18
Fremont,"50,880","53,574","56,891",18,5.3,6.2,12
Goshen,"51,258","51,161","54,733",19,-0.2,7.0,6
Hot Springs,"71,989","78,661","63,816",12,9.3,-18.9,23
Johnson,"60,879","66,043","70,887",7,8.5,7.3,4
Laramie,"60,073","60,874","65,150",10,1.3,7.0,5
Lincoln,"60,946","67,828","73,432",5,11.3,8.3,2
Natrona,"67,034","75,040","79,846",2,11.9,6.4,10
